ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime,TotalTime,Clusters
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 17:34:49 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Fri Nov 24 17:39:49 BRST 2017,300.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 16:39:46 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,45 min 1 sec,104.9,13266889,10685240,Fri Nov 24 17:24:48 BRST 2017,2702.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 16:34:46 BRST 2017,P01-A05-AP2-SMA,78:da:6e:e8:65:d0,5 min 0 sec,0,0,0,Fri Nov 24 16:39:46 BRST 2017,300.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 15:04:38 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,1 hrs 30 min 8 sec,61.4,22029880,19484270,Fri Nov 24 16:34:46 BRST 2017,5408.0,1
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 14:59:37 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Fri Nov 24 15:04:38 BRST 2017,301.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 14:49:36 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 1 sec,23.8,997984,788798,Fri Nov 24 14:59:37 BRST 2017,601.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 14:29:34 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,15 min 1 sec,0,0,0,Fri Nov 24 14:44:35 BRST 2017,901.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 14:14:32 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 0 sec,0,0,0,Fri Nov 24 14:24:32 BRST 2017,600.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 13:34:27 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,40 min 5 sec,8.4,1416727,1109299,Fri Nov 24 14:14:32 BRST 2017,2405.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 13:24:25 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 1 sec,0,0,0,Fri Nov 24 13:34:27 BRST 2017,602.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 13:14:24 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,10 min 1 sec,45.0,1809680,1573596,Fri Nov 24 13:24:25 BRST 2017,601.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 13:09:24 BRST 2017,P06-A01-AP1-ETGC,78:da:6e:e8:64:60,5 min 0 sec,156.7,1890374,3999639,Fri Nov 24 13:14:24 BRST 2017,300.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 13:04:23 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,34.3,238561,1050772,Fri Nov 24 13:09:24 BRST 2017,301.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 12:54:22 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,10 min 1 sec,131.2,740056,9119988,Fri Nov 24 13:04:23 BRST 2017,601.0,0
3981,172.24.0.161,f4:f5:24:eb:af:ec,Fri Nov 24 11:39:14 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,10 min 0 sec,0,0,0,Fri Nov 24 11:49:15 BRST 2017,601.0,0
3981,172.24.0.161,f4:f5:24:eb:af:ec,Fri Nov 24 11:14:12 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,15 min 1 sec,0,0,0,Fri Nov 24 11:29:13 BRST 2017,901.0,0
3981,172.24.0.161,f4:f5:24:eb:af:ec,Fri Nov 24 10:59:11 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,15 min 1 sec,331.3,14839540,22501038,Fri Nov 24 11:14:12 BRST 2017,901.0,1
3981,172.24.0.161,f4:f5:24:eb:af:ec,Fri Nov 24 10:24:06 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,35 min 4 sec,0,0,0,Fri Nov 24 10:59:11 BRST 2017,2105.0,0
3981,172.24.0.161,f4:f5:24:eb:af:ec,Fri Nov 24 10:14:05 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Fri Nov 24 10:19:05 BRST 2017,300.0,0
3981,172.24.0.161,f4:f5:24:eb:af:ec,Fri Nov 24 09:49:01 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,25 min 3 sec,72.2,7709050,5859061,Fri Nov 24 10:14:05 BRST 2017,1504.0,0
3981,172.24.0.161,f4:f5:24:eb:af:ec,Fri Nov 24 09:39:00 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 1 sec,0,1045,3304,Fri Nov 24 09:49:01 BRST 2017,601.0,0
3981,172.24.0.161,f4:f5:24:eb:af:ec,Fri Nov 24 09:33:59 BRST 2017,P01-ANEXO-A01-VI,78:da:6e:eb:ab:20,5 min 0 sec,161.4,141659,5925115,Fri Nov 24 09:39:00 BRST 2017,301.0,0
3981,172.24.0.161,f4:f5:24:eb:af:ec,Thu Nov 23 17:33:32 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Thu Nov 23 17:38:32 BRST 2017,300.0,0
